,DJI_label,NASDAQ_label,NYSE_label,RUSSELL_label,S&P_label
789,1,1,1,1,1
790,0,0,0,0,0
791,1,1,1,1,1
792,0,0,0,0,0
793,0,0,0,0,0
794,1,1,1,0,1
795,0,0,0,0,0
796,0,0,0,0,0
797,0,0,0,0,0
798,0,1,0,0,0
799,0,0,0,0,0
800,0,0,0,0,0
801,0,0,0,0,0
802,0,1,1,1,1
803,0,0,1,0,0
804,0,0,0,0,0
805,1,1,1,1,1
806,1,1,1,1,1
807,0,1,1,1,1
808,0,0,0,0,0
809,1,1,1,1,1
810,0,0,0,0,0
811,1,1,1,1,1
812,0,0,0,0,0
813,1,0,1,0,1
814,0,0,0,0,0
815,1,1,0,1,1
816,0,0,1,1,0
817,1,1,1,1,1
818,0,0,0,0,0
819,1,1,1,1,1
820,0,0,0,0,0
821,0,0,0,1,0
822,0,0,0,0,0
823,0,0,0,0,0
824,1,1,1,1,1
825,1,1,1,1,1
826,0,0,0,0,0
827,1,1,1,1,1
828,1,1,1,1,1
829,0,0,0,0,0
830,0,0,0,0,0
831,0,0,0,0,0
832,1,0,0,0,0
833,0,0,0,0,0
834,0,1,1,1,1
835,0,0,0,0,0
836,0,0,0,0,0
837,1,1,1,1,1
838,0,0,0,0,0
839,0,0,0,0,0
840,1,0,0,0,0
841,0,0,0,0,0
842,0,0,0,0,0
843,1,1,1,1,1
844,0,0,0,0,0
845,1,0,1,1,0
846,0,0,0,0,0
847,0,0,0,0,0
848,1,1,1,1,1
849,0,0,0,0,0
850,1,1,0,0,1
851,0,0,0,0,0
852,1,1,1,1,1
853,1,1,1,0,1
854,0,1,1,1,1
855,0,0,0,0,0
856,1,1,1,1,1
857,0,0,0,0,0
858,1,1,1,1,1
859,0,0,0,0,0
860,1,1,1,1,1
861,1,1,1,1,1
862,0,0,0,0,0
863,0,0,0,0,0
864,1,0,0,0,1
865,1,1,1,1,1
866,1,1,1,1,1
867,0,0,0,0,0
868,1,1,1,1,1
869,0,0,0,0,0
870,0,0,0,0,0
871,1,1,1,1,1
872,1,1,1,1,1
873,0,1,0,0,0
874,1,1,1,1,1
875,0,0,0,0,0
876,0,0,0,0,0
877,0,0,0,0,0
878,1,0,1,1,1
879,0,0,0,0,0
880,1,1,1,1,1
881,0,0,1,0,0
882,0,0,0,0,0
883,0,0,0,0,0
884,0,0,0,0,0
885,1,0,1,0,0
886,0,0,0,0,0
887,0,0,0,0,0
888,0,0,0,0,0
889,1,1,1,1,1
890,0,0,0,0,0
891,0,0,0,0,0
892,1,1,0,0,0
893,0,0,0,0,0
894,0,1,0,1,1
895,1,0,1,1,1
896,0,0,0,0,0
897,0,0,1,1,0
898,1,1,1,1,1
899,1,0,1,0,0
900,1,0,0,0,1
901,0,0,0,0,0
902,0,0,0,1,0
903,1,0,1,0,1
904,1,1,1,1,1
905,1,1,1,1,1
906,0,0,0,0,0
907,1,1,1,1,1
908,1,0,1,0,1
909,0,0,0,1,0
910,1,1,1,1,1
911,1,1,1,1,1
912,1,1,1,1,1
913,1,1,1,1,1
914,1,0,0,0,0
915,1,1,1,1,1
916,0,0,0,0,0
917,0,0,0,0,0
918,1,1,1,0,1
919,1,1,1,1,1
920,0,0,0,0,0
921,0,0,0,0,0
922,1,1,1,1,1
923,0,0,0,0,0
924,0,0,0,0,0
925,0,0,0,0,0
926,1,0,0,0,0
927,0,0,0,0,0
928,0,0,0,0,0
929,0,1,0,1,0
930,1,1,1,1,1
931,0,0,0,0,0
932,0,1,0,0,0
933,0,0,0,0,0
934,0,0,0,0,0
935,1,0,1,1,1
936,1,1,1,1,1
937,1,1,1,1,1
938,1,0,1,0,1
939,1,1,1,1,1
940,0,0,0,0,0
941,1,1,1,1,1
942,1,1,1,1,1
943,0,0,0,0,0
944,1,1,1,1,1
945,1,1,1,1,1
946,0,0,0,0,0
947,1,1,1,1,1
948,1,1,1,1,1
949,0,1,0,1,0
950,0,0,0,0,0
951,0,0,0,0,0
952,0,0,0,0,0
953,1,1,1,1,1
954,0,0,0,0,0
955,1,0,0,0,0
956,0,0,0,0,0
957,1,0,1,1,0
958,0,0,0,0,0
959,1,1,1,1,1
960,0,0,0,0,0
961,0,0,0,1,0
962,1,1,1,1,0
963,0,0,0,0,0
964,1,1,1,1,1
965,1,1,1,1,1
966,0,0,0,1,0
967,0,0,0,0,0
968,1,0,1,1,1
969,0,1,0,1,0
970,1,1,1,1,1
971,0,0,0,0,0
972,0,0,0,0,0
973,1,0,1,1,1
974,0,0,0,0,0
975,0,0,0,1,0
976,0,0,0,0,0
977,0,1,1,1,1
978,1,1,1,1,1
979,1,1,1,1,1
980,0,0,0,0,0
981,0,0,0,0,0
982,0,0,1,1,1
983,0,0,1,0,0
984,0,0,0,0,0
985,1,0,0,0,1
986,1,1,1,1,1
987,1,1,1,1,1
988,1,0,1,1,1
989,1,1,1,0,1
990,0,0,0,0,0
991,0,0,0,1,0
992,1,1,1,1,1
993,1,1,1,1,1
994,1,1,1,0,1
995,0,0,0,0,1
996,0,0,0,0,0
997,1,1,1,1,1
998,0,0,0,0,0
999,0,1,1,1,1
1000,0,0,0,0,0
1001,0,0,0,0,0
1002,0,0,0,0,0
1003,0,0,0,0,0
1004,1,1,0,1,1
1005,0,1,0,1,1
1006,0,0,0,0,0
1007,1,1,1,1,1
1008,0,1,0,0,1
1009,1,1,1,1,1
1010,0,0,0,0,0
1011,1,0,1,1,1
1012,1,1,0,0,0
1013,1,0,0,0,0
1014,1,1,1,1,1
1015,0,0,0,0,0
1016,0,0,0,0,0
1017,1,0,1,0,1
1018,0,1,1,1,1
1019,1,0,0,0,0
1020,1,0,0,0,0
1021,1,1,1,1,1
1022,1,1,1,1,1
1023,1,1,1,1,1
1024,0,0,0,0,0
1025,1,1,1,1,1
1026,0,0,0,0,0
1027,1,1,1,1,1
1028,1,1,1,1,1
1029,0,0,0,0,0
1030,1,1,1,1,1
1031,0,0,0,0,0
1032,0,0,0,0,0
1033,0,0,1,0,0
1034,0,0,0,0,0
1035,1,0,0,0,1
1036,0,0,0,0,0
1037,0,0,0,0,0
1038,1,0,0,0,0
1039,1,1,1,1,1
1040,0,0,0,0,0
1041,1,1,1,0,1
1042,0,0,0,0,0
1043,1,1,1,1,1
1044,0,0,1,0,0
1045,0,0,0,0,0
1046,0,1,0,1,0
1047,1,1,1,1,1
1048,0,0,0,0,0
1049,1,0,1,1,1
1050,0,1,0,1,0
1051,0,1,1,1,0
1052,1,1,1,1,1
1053,1,1,1,1,1
1054,1,0,1,0,0
1055,1,1,1,1,1
1056,1,1,1,0,1
1057,0,0,0,0,0
1058,0,0,0,0,0
1059,1,1,1,1,1
1060,0,0,0,0,0
1061,1,1,1,1,1
1062,1,1,1,1,1
1063,0,0,0,1,0
1064,1,1,1,1,1
1065,1,1,0,1,1
1066,0,0,0,0,0
1067,0,0,0,0,0
1068,0,0,0,0,0
1069,0,0,0,0,0
1070,1,1,1,1,1
1071,1,1,1,1,1
1072,1,1,1,1,1
1073,0,0,0,0,0
1074,0,0,0,0,0
1075,1,1,1,1,1
1076,1,1,1,1,1
1077,0,0,0,0,0
1078,0,0,0,0,0
1079,0,0,0,0,0
1080,1,0,0,0,0
1081,0,0,0,0,0
1082,0,0,0,0,0
1083,1,1,1,1,1
1084,1,0,1,1,0
1085,1,1,1,1,1
1086,0,1,0,1,0
1087,0,0,0,0,0
1088,0,0,0,0,0
1089,1,0,0,1,1
1090,1,1,0,0,1
1091,0,0,0,1,0
1092,1,1,1,1,1
1093,0,1,0,0,0
1094,0,1,1,1,1
1095,0,0,1,0,0
1096,0,0,0,0,0
1097,0,1,1,1,0
1098,1,1,1,1,1
1099,1,1,1,1,1
1100,0,0,0,0,0
1101,0,0,0,0,0
1102,1,1,1,1,1
1103,0,0,0,0,0
1104,0,0,0,0,0
1105,0,0,0,0,0
1106,0,0,0,0,0
1107,1,1,1,1,1
1108,0,0,0,0,0
1109,0,1,0,1,0
1110,0,1,0,1,0
1111,1,1,1,1,1
1112,0,0,0,0,0
1113,0,0,0,0,0
1114,0,0,0,0,0
1115,0,0,0,0,0
1116,0,0,1,1,1
1117,1,1,1,1,1
1118,1,1,1,1,1
1119,0,0,0,0,0
1120,0,0,0,0,0
1121,0,0,0,0,0
1122,0,0,0,0,0
1123,0,1,0,0,0
1124,0,0,0,0,0
1125,1,0,1,1,1
1126,1,1,1,1,1
1127,0,0,0,0,0
1128,1,1,1,1,1
1129,0,0,0,0,0
1130,1,0,0,0,1
1131,0,0,0,0,0
1132,0,1,0,1,0
1133,0,0,0,0,0
1134,1,1,1,1,1
1135,1,1,1,1,1
1136,0,0,0,0,0
1137,1,1,1,1,1
1138,0,0,1,1,0
1139,0,0,0,0,0
1140,0,1,1,1,1
1141,0,0,0,1,0
1142,1,1,1,1,1
1143,0,0,0,0,0
1144,1,1,1,1,1
1145,0,0,0,0,0
1146,1,0,0,0,0
1147,1,1,0,1,0
